,RATE A,,RATE B,,RATE C,
 08/06/2025 22.45,,,,,72,
 08/06/2025 23.00,,,,,72,
 08/06/2025 23.15,,,,,75,
 08/06/2025 23.30,,,,,75,
 08/06/2025 23.45,,,,,72,
 08/06/2025 24.00,,,,,75,
 09/06/2025 00.15,,,75,,,
 09/06/2025 00.30,,,75,,,
 09/06/2025 00.45,,,75,,,
 09/06/2025 01.00,,,72,,,
 09/06/2025 01.15,,,78,,,
 09/06/2025 01.30,,,72,,,
 09/06/2025 01.45,,,75,,,
 09/06/2025 02.00,,,72,,,
 09/06/2025 02.15,,,75,,,
 09/06/2025 02.30,,,72,,,
 09/06/2025 02.45,,,72,,,
 09/06/2025 03.00,,,72,,,
 09/06/2025 03.15,,,75,,,
 09/06/2025 03.30,,,72,,,
 09/06/2025 03.45,,,72,,,
 09/06/2025 04.00,,,72,,,
 09/06/2025 04.15,,,72,,,
 09/06/2025 04.30,,,69,,,
 09/06/2025 04.45,,,69,,,
 09/06/2025 05.00,,,72,,,
 09/06/2025 05.15,,,75,,,
 09/06/2025 05.30,,,72,,,
 09/06/2025 05.45,,,66,,,
 09/06/2025 06.00,,,66,,,
 09/06/2025 06.15,,,66,,,
 09/06/2025 06.30,,,69,,,
 09/06/2025 06.45,,,63,,,
 09/06/2025 07.00,,,63,,,
 09/06/2025 07.15,,,60,,,
 09/06/2025 07.30,,,63,,,
 09/06/2025 07.45,,,60,,,
 09/06/2025 08.00,,,57,,,
 09/06/2025 08.15,,,63,,,
 09/06/2025 08.30,,,57,,,
 09/06/2025 08.45,,,66,,,
 09/06/2025 09.00,,,126,,,
 09/06/2025 09.15,150,,,,,
 09/06/2025 09.30,132,,,,,
 09/06/2025 09.45,144,,,,,
 09/06/2025 10.00,111,,,,,
 09/06/2025 10.15,138,,,,,
 09/06/2025 10.30,132,,,,,
 09/06/2025 10.45,111,,,,,
 09/06/2025 11.00,123,,,,,
 09/06/2025 11.15,117,,,,,
 09/06/2025 11.30,96,,,,,
 09/06/2025 11.45,75,,,,,
 09/06/2025 12.00,96,,,,,
 09/06/2025 12.15,84,,,,,
 09/06/2025 12.30,57,,,,,
 09/06/2025 12.45,33,,,,,
 09/06/2025 13.00,33,,,,,
 09/06/2025 13.15,33,,,,,
 09/06/2025 13.30,66,,,,,
 09/06/2025 13.45,123,,,,,
 09/06/2025 14.00,102,,,,,
 09/06/2025 14.15,75,,,,,
 09/06/2025 14.30,177,,,,,
 09/06/2025 14.45,201,,,,,
 09/06/2025 15.00,186,,,,,
 09/06/2025 15.15,195,,,,,
 09/06/2025 15.30,210,,,,,
 09/06/2025 15.45,234,,,,,
 09/06/2025 16.00,231,,,,,
 09/06/2025 16.15,243,,,,,
 09/06/2025 16.30,234,,,,,
 09/06/2025 16.45,237,,,,,
 09/06/2025 17.00,222,,,,,
 09/06/2025 17.15,210,,,,,
 09/06/2025 17.30,204,,,,,
 09/06/2025 17.45,231,,,,,
 09/06/2025 18.00,252,,,,,
 09/06/2025 18.15,252,,,,,
 09/06/2025 18.30,267,,,,,
 09/06/2025 18.45,243,,,,,
 09/06/2025 19.00,231,,,,,
 09/06/2025 19.15,207,,,,,
 09/06/2025 19.30,201,,,,,
 09/06/2025 19.45,174,,,,,
 09/06/2025 20.00,168,,,,,
 09/06/2025 20.15,165,,,,,
 09/06/2025 20.30,168,,,,,
 09/06/2025 20.45,192,,,,,
 09/06/2025 21.00,204,,,,,
 09/06/2025 21.15,201,,,,,
 09/06/2025 21.30,216,,,,,
 09/06/2025 21.45,228,,,,,
 09/06/2025 22.00,213,,,,,
 09/06/2025 22.15,,,210,,,
 09/06/2025 22.30,,,210,,,
 09/06/2025 22.45,,,222,,,
 09/06/2025 23.00,,,219,,,
 09/06/2025 23.15,,,219,,,
 09/06/2025 23.30,,,210,,,
 09/06/2025 23.45,,,216,,,
 09/06/2025 24.00,,,237,,,
 10/06/2025 00.15,,,213,,,
 10/06/2025 00.30,,,213,,,
 10/06/2025 00.45,,,180,,,
 10/06/2025 01.00,,,171,,,
 10/06/2025 01.15,,,180,,,
 10/06/2025 01.30,,,201,,,
 10/06/2025 01.45,,,213,,,
 10/06/2025 02.00,,,210,,,
 10/06/2025 02.15,,,219,,,
 10/06/2025 02.30,,,216,,,
 10/06/2025 02.45,,,213,,,
 10/06/2025 03.00,,,204,,,
 10/06/2025 03.15,,,201,,,
 10/06/2025 03.30,,,207,,,
 10/06/2025 03.45,,,204,,,
 10/06/2025 04.00,,,195,,,
 10/06/2025 04.15,,,195,,,
 10/06/2025 04.30,,,210,,,
 10/06/2025 04.45,,,210,,,
 10/06/2025 05.00,,,192,,,
 10/06/2025 05.15,,,192,,,
 10/06/2025 05.30,,,174,,,
 10/06/2025 05.45,,,174,,,
 10/06/2025 06.00,,,162,,,
 10/06/2025 06.15,,,165,,,
 10/06/2025 06.30,,,168,,,
 10/06/2025 06.45,,,159,,,
 10/06/2025 07.00,,,138,,,
 10/06/2025 07.15,,,126,,,
 10/06/2025 07.30,,,114,,,
 10/06/2025 07.45,,,102,,,
 10/06/2025 08.00,,,108,,,
 10/06/2025 08.15,,,99,,,
 10/06/2025 08.30,,,105,,,
 10/06/2025 08.45,,,114,,,
 10/06/2025 09.00,,,123,,,
 10/06/2025 09.15,147,,,,,
 10/06/2025 09.30,141,,,,,
 10/06/2025 09.45,165,,,,,
 10/06/2025 10.00,147,,,,,
 10/06/2025 10.15,174,,,,,
 10/06/2025 10.30,177,,,,,
 10/06/2025 10.45,171,,,,,
 10/06/2025 11.00,141,,,,,
 10/06/2025 11.15,114,,,,,
 10/06/2025 11.30,108,,,,,
 10/06/2025 11.45,126,,,,,
 10/06/2025 12.00,132,,,,,
 10/06/2025 12.15,96,,,,,
 10/06/2025 12.30,78,,,,,
 10/06/2025 12.45,54,,,,,
 10/06/2025 13.00,36,,,,,
 10/06/2025 13.15,45,,,,,
 10/06/2025 13.30,81,,,,,
 10/06/2025 13.45,84,,,,,
 10/06/2025 14.00,81,,,,,
 10/06/2025 14.15,96,,,,,
 10/06/2025 14.30,126,,,,,
 10/06/2025 14.45,132,,,,,
 10/06/2025 15.00,117,,,,,
 10/06/2025 15.15,114,,,,,
 10/06/2025 15.30,129,,,,,
 10/06/2025 15.45,186,,,,,
 10/06/2025 16.00,165,,,,,
 10/06/2025 16.15,135,,,,,
 10/06/2025 16.30,144,,,,,
 10/06/2025 16.45,162,,,,,
 10/06/2025 17.00,171,,,,,
 10/06/2025 17.15,192,,,,,
 10/06/2025 17.30,168,,,,,
 10/06/2025 17.45,213,,,,,
 10/06/2025 18.00,222,,,,,
 10/06/2025 18.15,234,,,,,
 10/06/2025 18.30,228,,,,,
 10/06/2025 18.45,222,,,,,
 10/06/2025 19.00,195,,,,,
 10/06/2025 19.15,192,,,,,
 10/06/2025 19.30,180,,,,,
 10/06/2025 19.45,156,,,,,
 10/06/2025 20.00,156,,,,,
 10/06/2025 20.15,165,,,,,
 10/06/2025 20.30,177,,,,,
 10/06/2025 20.45,195,,,,,
 10/06/2025 21.00,195,,,,,
 10/06/2025 21.15,210,,,,,
 10/06/2025 21.30,219,,,,,
 10/06/2025 21.45,213,,,,,
 10/06/2025 22.00,219,,,,,
 10/06/2025 22.15,,,201,,,
 10/06/2025 22.30,,,213,,,
 10/06/2025 22.45,,,213,,,
 10/06/2025 23.00,,,204,,,
 10/06/2025 23.15,,,207,,,
 10/06/2025 23.30,,,216,,,
 10/06/2025 23.45,,,222,,,
 10/06/2025 24.00,,,216,,,
 11/06/2025 00.15,,,201,,,
 11/06/2025 00.30,,,195,,,
 11/06/2025 00.45,,,189,,,
 11/06/2025 01.00,,,192,,,
 11/06/2025 01.15,,,189,,,
 11/06/2025 01.30,,,198,,,
 11/06/2025 01.45,,,213,,,
 11/06/2025 02.00,,,201,,,
 11/06/2025 02.15,,,207,,,
 11/06/2025 02.30,,,195,,,
 11/06/2025 02.45,,,192,,,
 11/06/2025 03.00,,,201,,,
 11/06/2025 03.15,,,207,,,
 11/06/2025 03.30,,,201,,,
 11/06/2025 03.45,,,198,,,
 11/06/2025 04.00,,,198,,,
 11/06/2025 04.15,,,213,,,
 11/06/2025 04.30,,,219,,,
 11/06/2025 04.45,,,204,,,
 11/06/2025 05.00,,,198,,,
 11/06/2025 05.15,,,189,,,
 11/06/2025 05.30,,,189,,,
 11/06/2025 05.45,,,186,,,
 11/06/2025 06.00,,,186,,,
 11/06/2025 06.15,,,192,,,
 11/06/2025 06.30,,,195,,,
 11/06/2025 06.45,,,186,,,
 11/06/2025 07.00,,,180,,,
 11/06/2025 07.15,,,168,,,
 11/06/2025 07.30,,,138,,,
 11/06/2025 07.45,,,114,,,
 11/06/2025 08.00,,,120,,,
 11/06/2025 08.15,,,129,,,
 11/06/2025 08.30,,,129,,,
 11/06/2025 08.45,,,132,,,
 11/06/2025 09.00,,,171,,,
 11/06/2025 09.15,189,,,,,
 11/06/2025 09.30,192,,,,,
 11/06/2025 09.45,189,,,,,
 11/06/2025 10.00,195,,,,,
 11/06/2025 10.15,186,,,,,
 11/06/2025 10.30,174,,,,,
 11/06/2025 10.45,168,,,,,
 11/06/2025 11.00,138,,,,,
 11/06/2025 11.15,135,,,,,
 11/06/2025 11.30,171,,,,,
 11/06/2025 11.45,168,,,,,
 11/06/2025 12.00,153,,,,,
 11/06/2025 12.15,159,,,,,
 11/06/2025 12.30,135,,,,,
 11/06/2025 12.45,84,,,,,
 11/06/2025 13.00,72,,,,,
 11/06/2025 13.15,57,,,,,
 11/06/2025 13.30,111,,,,,
 11/06/2025 13.45,111,,,,,
 11/06/2025 14.00,150,,,,,
 11/06/2025 14.15,147,,,,,
 11/06/2025 14.30,156,,,,,
 11/06/2025 14.45,180,,,,,
 11/06/2025 15.00,195,,,,,
 11/06/2025 15.15,192,,,,,
 11/06/2025 15.30,192,,,,,
 11/06/2025 15.45,180,,,,,
 11/06/2025 16.00,192,,,,,
 11/06/2025 16.15,198,,,,,
 11/06/2025 16.30,213,,,,,
 11/06/2025 16.45,195,,,,,
 11/06/2025 17.00,177,,,,,
 11/06/2025 17.15,162,,,,,
 11/06/2025 17.30,138,,,,,
 11/06/2025 17.45,147,,,,,
 11/06/2025 18.00,162,,,,,
 11/06/2025 18.15,180,,,,,
 11/06/2025 18.30,189,,,,,
 11/06/2025 18.45,180,,,,,
 11/06/2025 19.00,165,,,,,
 11/06/2025 19.15,165,,,,,
 11/06/2025 19.30,171,,,,,
 11/06/2025 19.45,156,,,,,
 11/06/2025 20.00,138,,,,,
 11/06/2025 20.15,141,,,,,
 11/06/2025 20.30,147,,,,,
 11/06/2025 20.45,186,,,,,
 11/06/2025 21.00,195,,,,,
 11/06/2025 21.15,195,,,,,
 11/06/2025 21.30,195,,,,,
 11/06/2025 21.45,192,,,,,
 11/06/2025 22.00,228,,,,,
 11/06/2025 22.15,,,189,,,
 11/06/2025 22.30,,,186,,,
 11/06/2025 22.45,,,186,,,
 11/06/2025 23.00,,,195,,,
 11/06/2025 23.15,,,198,,,
 11/06/2025 23.30,,,195,,,
 11/06/2025 23.45,,,207,,,
 11/06/2025 24.00,,,210,,,
 12/06/2025 00.15,,,204,,,
 12/06/2025 00.30,,,204,,,
 12/06/2025 00.45,,,183,,,
 12/06/2025 01.00,,,174,,,
 12/06/2025 01.15,,,174,,,
 12/06/2025 01.30,,,195,,,
 12/06/2025 01.45,,,186,,,
 12/06/2025 02.00,,,204,,,
 12/06/2025 02.15,,,192,,,
 12/06/2025 02.30,,,189,,,
 12/06/2025 02.45,,,195,,,
 12/06/2025 03.00,,,192,,,
 12/06/2025 03.15,,,186,,,
 12/06/2025 03.30,,,201,,,
 12/06/2025 03.45,,,201,,,
 12/06/2025 04.00,,,195,,,
 12/06/2025 04.15,,,189,,,
 12/06/2025 04.30,,,189,,,
 12/06/2025 04.45,,,210,,,
 12/06/2025 05.00,,,180,,,
 12/06/2025 05.15,,,180,,,
 12/06/2025 05.30,,,171,,,
 12/06/2025 05.45,,,174,,,
 12/06/2025 06.00,,,189,,,
 12/06/2025 06.15,,,186,,,
 12/06/2025 06.30,,,177,,,
 12/06/2025 06.45,,,171,,,
 12/06/2025 07.00,,,165,,,
 12/06/2025 07.15,,,138,,,
 12/06/2025 07.30,,,129,,,
 12/06/2025 07.45,,,117,,,
 12/06/2025 08.00,,,111,,,
 12/06/2025 08.15,,,108,,,
 12/06/2025 08.30,,,111,,,
 12/06/2025 08.45,,,105,,,
 12/06/2025 09.00,,,135,,,
 12/06/2025 09.15,135,,,,,
 12/06/2025 09.30,141,,,,,
 12/06/2025 09.45,144,,,,,
 12/06/2025 10.00,144,,,,,
 12/06/2025 10.15,162,,,,,
 12/06/2025 10.30,120,,,,,
 12/06/2025 10.45,90,,,,,
 12/06/2025 11.00,102,,,,,
 12/06/2025 11.15,78,,,,,
 12/06/2025 11.30,75,,,,,
 12/06/2025 11.45,99,,,,,
 12/06/2025 12.00,90,,,,,
 12/06/2025 12.15,102,,,,,
 12/06/2025 12.30,111,,,,,
 12/06/2025 12.45,72,,,,,
 12/06/2025 13.00,93,,,,,
 12/06/2025 13.15,108,,,,,
 12/06/2025 13.30,156,,,,,
 12/06/2025 13.45,147,,,,,
 12/06/2025 14.00,183,,,,,
 12/06/2025 14.15,180,,,,,
 12/06/2025 14.30,171,,,,,
 12/06/2025 14.45,177,,,,,
 12/06/2025 15.00,153,,,,,
 12/06/2025 15.15,189,,,,,
 12/06/2025 15.30,162,,,,,
 12/06/2025 15.45,165,,,,,
 12/06/2025 16.00,183,,,,,
 12/06/2025 16.15,171,,,,,
 12/06/2025 16.30,177,,,,,
 12/06/2025 16.45,171,,,,,
 12/06/2025 17.00,138,,,,,
 12/06/2025 17.15,132,,,,,
 12/06/2025 17.30,147,,,,,
 12/06/2025 17.45,207,,,,,
 12/06/2025 18.00,216,,,,,
 12/06/2025 18.15,216,,,,,
 12/06/2025 18.30,240,,,,,
 12/06/2025 18.45,225,,,,,
 12/06/2025 19.00,207,,,,,
 12/06/2025 19.15,204,,,,,
 12/06/2025 19.30,204,,,,,
 12/06/2025 19.45,186,,,,,
 12/06/2025 20.00,174,,,,,
 12/06/2025 20.15,168,,,,,
 12/06/2025 20.30,168,,,,,
 12/06/2025 20.45,186,,,,,
 12/06/2025 21.00,192,,,,,
 12/06/2025 21.15,195,,,,,
 12/06/2025 21.30,189,,,,,
 12/06/2025 21.45,192,,,,,
 12/06/2025 22.00,195,,,,,
 12/06/2025 22.15,,,189,,,
 12/06/2025 22.30,,,195,,,
 12/06/2025 22.45,,,216,,,
 12/06/2025 23.00,,,219,,,
 12/06/2025 23.15,,,222,,,
 12/06/2025 23.30,,,225,,,
 12/06/2025 23.45,,,207,,,
 12/06/2025 24.00,,,201,,,
 13/06/2025 00.15,,,216,,,
 13/06/2025 00.30,,,207,,,
 13/06/2025 00.45,,,198,,,
 13/06/2025 01.00,,,195,,,
 13/06/2025 01.15,,,192,,,
 13/06/2025 01.30,,,198,,,
 13/06/2025 01.45,,,216,,,
 13/06/2025 02.00,,,204,,,
 13/06/2025 02.15,,,213,,,
 13/06/2025 02.30,,,207,,,
 13/06/2025 02.45,,,207,,,
 13/06/2025 03.00,,,216,,,
 13/06/2025 03.15,,,222,,,
 13/06/2025 03.30,,,231,,,
 13/06/2025 03.45,,,216,,,
 13/06/2025 04.00,,,216,,,
 13/06/2025 04.15,,,228,,,
 13/06/2025 04.30,,,213,,,
 13/06/2025 04.45,,,192,,,
 13/06/2025 05.00,,,183,,,
 13/06/2025 05.15,,,168,,,
 13/06/2025 05.30,,,165,,,
 13/06/2025 05.45,,,162,,,
 13/06/2025 06.00,,,156,,,
 13/06/2025 06.15,,,168,,,
 13/06/2025 06.30,,,165,,,
 13/06/2025 06.45,,,165,,,
 13/06/2025 07.00,,,141,,,
 13/06/2025 07.15,,,126,,,
 13/06/2025 07.30,,,120,,,
 13/06/2025 07.45,,,102,,,
 13/06/2025 08.00,,,105,,,
 13/06/2025 08.15,,,108,,,
 13/06/2025 08.30,,,114,,,
 13/06/2025 08.45,,,126,,,
 13/06/2025 09.00,,,144,,,
 13/06/2025 09.15,171,,,,,
 13/06/2025 09.30,174,,,,,
 13/06/2025 09.45,192,,,,,
 13/06/2025 10.00,174,,,,,
 13/06/2025 10.15,147,,,,,
 13/06/2025 10.30,150,,,,,
 13/06/2025 10.45,159,,,,,
 13/06/2025 11.00,138,,,,,
 13/06/2025 11.15,162,,,,,
 13/06/2025 11.30,189,,,,,
 13/06/2025 11.45,153,,,,,
 13/06/2025 12.00,168,,,,,
 13/06/2025 12.15,165,,,,,
 13/06/2025 12.30,123,,,,,
 13/06/2025 12.45,51,,,,,
 13/06/2025 13.00,30,,,,,
 13/06/2025 13.15,42,,,,,
 13/06/2025 13.30,201,,,,,
 13/06/2025 13.45,201,,,,,
 13/06/2025 14.00,207,,,,,
 13/06/2025 14.15,207,,,,,
 13/06/2025 14.30,225,,,,,
 13/06/2025 14.45,225,,,,,
 13/06/2025 15.00,192,,,,,
 13/06/2025 15.15,189,,,,,
 13/06/2025 15.30,168,,,,,
 13/06/2025 15.45,192,,,,,
 13/06/2025 16.00,198,,,,,
 13/06/2025 16.15,195,,,,,
 13/06/2025 16.30,225,,,,,
 13/06/2025 16.45,219,,,,,
 13/06/2025 17.00,222,,,,,
 13/06/2025 17.15,183,,,,,
 13/06/2025 17.30,168,,,,,
 13/06/2025 17.45,189,,,,,
 13/06/2025 18.00,210,,,,,
 13/06/2025 18.15,210,,,,,
 13/06/2025 18.30,195,,,,,
 13/06/2025 18.45,180,,,,,
 13/06/2025 19.00,183,,,,,
 13/06/2025 19.15,186,,,,,
 13/06/2025 19.30,165,,,,,
 13/06/2025 19.45,138,,,,,
 13/06/2025 20.00,141,,,,,
 13/06/2025 20.15,141,,,,,
 13/06/2025 20.30,144,,,,,
 13/06/2025 20.45,159,,,,,
 13/06/2025 21.00,180,,,,,
 13/06/2025 21.15,192,,,,,
 13/06/2025 21.30,195,,,,,
 13/06/2025 21.45,198,,,,,
 13/06/2025 22.00,189,,,,,
 13/06/2025 22.15,,,186,,,
 13/06/2025 22.30,,,201,,,
 13/06/2025 22.45,,,213,,,
 13/06/2025 23.00,,,201,,,
 13/06/2025 23.15,,,207,,,
 13/06/2025 23.30,,,222,,,
 13/06/2025 23.45,,,219,,,
 13/06/2025 24.00,,,213,,,
 14/06/2025 00.15,,,,,219,
 14/06/2025 00.30,,,,,198,
 14/06/2025 00.45,,,,,183,
 14/06/2025 01.00,,,,,180,
 14/06/2025 01.15,,,,,180,
 14/06/2025 01.30,,,,,201,
 14/06/2025 01.45,,,,,210,
 14/06/2025 02.00,,,,,204,
 14/06/2025 02.15,,,,,207,
 14/06/2025 02.30,,,,,213,
 14/06/2025 02.45,,,,,213,
 14/06/2025 03.00,,,,,219,
 14/06/2025 03.15,,,,,198,
 14/06/2025 03.30,,,,,204,
 14/06/2025 03.45,,,,,210,
 14/06/2025 04.00,,,,,213,
 14/06/2025 04.15,,,,,213,
 14/06/2025 04.30,,,,,210,
 14/06/2025 04.45,,,,,198,
 14/06/2025 05.00,,,,,192,
 14/06/2025 05.15,,,,,189,
 14/06/2025 05.30,,,,,180,
 14/06/2025 05.45,,,,,177,
 14/06/2025 06.00,,,,,192,
 14/06/2025 06.15,,,,,189,
 14/06/2025 06.30,,,,,186,
 14/06/2025 06.45,,,,,180,
 14/06/2025 07.00,,,,,153,
 14/06/2025 07.15,,,,,135,
 14/06/2025 07.30,,,,,129,
 14/06/2025 07.45,,,,,96,
 14/06/2025 08.00,,,,,105,
 14/06/2025 08.15,,,,,114,
 14/06/2025 08.30,,,,,129,
 14/06/2025 08.45,,,,,147,
 14/06/2025 09.00,,,,,174,
 14/06/2025 09.15,,,,,192,
 14/06/2025 09.30,,,,,180,
 14/06/2025 09.45,,,,,177,
 14/06/2025 10.00,,,,,165,
 14/06/2025 10.15,,,,,156,
 14/06/2025 10.30,,,,,147,
 14/06/2025 10.45,,,,,147,
 14/06/2025 11.00,,,,,126,
 14/06/2025 11.15,,,,,120,
 14/06/2025 11.30,,,,,111,
 14/06/2025 11.45,,,,,138,
 14/06/2025 12.00,,,,,102,
 14/06/2025 12.15,,,,,63,
 14/06/2025 12.30,,,,,90,
 14/06/2025 12.45,,,,,51,
 14/06/2025 13.00,,,,,27,
 14/06/2025 13.15,,,,,63,
 14/06/2025 13.30,,,,,108,
 14/06/2025 13.45,,,,,96,
 14/06/2025 14.00,,,,,111,
 14/06/2025 14.15,,,,,129,
 14/06/2025 14.30,,,,,120,
 14/06/2025 14.45,,,,,87,
 14/06/2025 15.00,,,,,72,
 14/06/2025 15.15,,,,,96,
 14/06/2025 15.30,,,,,144,
 14/06/2025 15.45,,,,,159,
 14/06/2025 16.00,,,,,165,
 14/06/2025 16.15,,,,,174,
 14/06/2025 16.30,,,,,159,
 14/06/2025 16.45,,,,,177,
 14/06/2025 17.00,,,,,189,
 14/06/2025 17.15,,,,,144,
 14/06/2025 17.30,,,,,117,
 14/06/2025 17.45,,,,,111,
 14/06/2025 18.00,,,,,111,
 14/06/2025 18.15,,,,,117,
 14/06/2025 18.30,,,,,120,
 14/06/2025 18.45,,,,,117,
 14/06/2025 19.00,,,,,126,
 14/06/2025 19.15,,,,,120,
 14/06/2025 19.30,,,,,126,
 14/06/2025 19.45,,,,,126,
 14/06/2025 20.00,,,,,126,
 14/06/2025 20.15,,,,,135,
 14/06/2025 20.30,,,,,156,
 14/06/2025 20.45,,,,,177,
 14/06/2025 21.00,,,,,177,
 14/06/2025 21.15,,,,,195,
 14/06/2025 21.30,,,,,195,
 14/06/2025 21.45,,,,,198,
 14/06/2025 22.00,,,,,225,
 14/06/2025 22.15,,,,,195,
 14/06/2025 22.30,,,,,210,
 14/06/2025 22.45,,,,,222,
 14/06/2025 23.00,,,,,210,
 14/06/2025 23.15,,,,,210,
 14/06/2025 23.30,,,,,207,
 14/06/2025 23.45,,,,,195,
 14/06/2025 24.00,,,,,192,
